index,source,reference,prediction,inference_time_ms,source_length,reference_length,prediction_length,exact_match,edit_distance,normalized_edit_distance,cer,similarity,char_accuracy,length_ratio
892,suchnaah,सूचनाः,सुचनासम्पूर्णाशिक्षासम्पूर्णाशिक्षा,2454.782009124756,8,6,35,0,31,0.8857142857142857,5.166666666666667,0.11428571428571432,0.6666666666666666,5.833333333333333
7811,rasaayanon,रसायनों,रसायनकेमिस्ट्रीफिजिक्सबायोलॉजीमैथेम,2459.556818008423,10,7,35,0,29,0.8285714285714286,4.142857142857143,0.17142857142857137,0.7142857142857143,5.0
8118,retreate,रीट्वीट,रिट्रीटसाइंसएजुकेशनटेक्नोलॉजीइंटरने,2596.545934677124,8,7,35,0,29,0.8285714285714286,4.142857142857143,0.17142857142857137,0.7142857142857143,5.0
6449,nations,नेशंस,नेशनयूनिटीडाइवर्सिटीडेमोक्रेसीफ़,2449.2416381835938,7,5,32,0,28,0.875,5.6,0.125,0.6,6.4
383,najaraandaajh,नजरअंदाज़,नजारान्दाजसच्चिनमहात्मागांधीइंडिया,2592.8165912628174,13,9,34,0,28,0.8235294117647058,3.111111111111111,0.17647058823529416,0.2222222222222222,3.7777777777777777
1768,pratikaaraa,प्रतिकारा,प्रतिकारसर्वश्रेष्ठसर्वत्रसर्वोत्तम,2367.89870262146,11,9,35,0,27,0.7714285714285715,3.0,0.22857142857142854,0.8888888888888888,3.888888888888889
589,barahadhawaah,बरहड़वाः,बारहधवासप्ताहिकमहात्मासत्याग्रह,2371.479272842407,13,8,31,0,27,0.8709677419354839,3.375,0.12903225806451613,0.375,3.875
7076,hawalaat,हवालात,हवालासच्चिनमहाराष्ट्रभोपालमुंबई,2360.349178314209,8,6,31,0,26,0.8387096774193549,4.333333333333333,0.16129032258064513,0.8333333333333334,5.166666666666667
9537,utaney,उतने,उटनेसच्चिनमहाराष्ट्रभगवद्गीता,2467.4909114837646,6,4,29,0,26,0.896551724137931,6.5,0.10344827586206895,0.75,7.25
8779,sandrbh,संदर्भ,सैंडर्बमहात्मागांधीइंडियामुंबई,2361.0010147094727,7,6,30,0,26,0.8666666666666667,4.333333333333333,0.1333333333333333,0.16666666666666666,5.0
7824,maine,मैने,मेनैसच्चिनमुम्बईदिल्लीबेंगलुरु,2377.640724182129,5,4,30,0,26,0.8666666666666667,6.5,0.1333333333333333,0.5,7.5
2757,makarh,मकरः,मकरसंक्रांतशिवसरस्वतीनवरात्रि,2369.594097137451,6,4,29,0,26,0.896551724137931,6.5,0.10344827586206895,0.75,7.25
9350,mancheeye,मंचीय,मंचीसच्चिनमहाराष्ट्रभगवद्गीता,2650.453805923462,9,5,29,0,25,0.8620689655172413,5.0,0.13793103448275867,0.8,5.8
469,barapaayee,बरपायी,बारापाएसच्चिनमहात्मागांधीमुंबई,2728.1875610351562,10,6,30,0,25,0.8333333333333334,4.166666666666667,0.16666666666666663,0.3333333333333333,5.0
9535,jajmauu,जाजमऊ,जजमौसच्चिनमुम्बईदिल्लीभोपाल,2818.549394607544,7,5,27,0,25,0.9259259259259259,5.0,0.07407407407407407,0.2,5.4
7912,nauu,नाऊ,नौसच्चिनमहाराष्ट्रभगवद्गीता,2579.850196838379,4,3,27,0,25,0.9259259259259259,8.333333333333334,0.07407407407407407,0.3333333333333333,9.0
1533,kyaah,क्याः,क्यासच्चिनमहाराष्ट्रभगवद्गीता,2506.537437438965,5,5,29,0,25,0.8620689655172413,5.0,0.13793103448275867,0.8,5.8
2500,koriyaah,कोरियाः,कोरियासच्चिनमहाराष्ट्रभगवद्गीता,2383.1746578216553,8,7,31,0,25,0.8064516129032258,3.5714285714285716,0.19354838709677424,0.8571428571428571,4.428571428571429
7112,airway,एयरवे,एअरवेहॉस्पिटलडॉक्टरनर्सपैशेंट,2545.377731323242,6,5,29,0,25,0.8620689655172413,5.0,0.13793103448275867,0.8,5.8
5861,udhrva,ऊर्ध्व,उध्र्वश्रद्धाप्रणयसंदेशश्रुति,2361.7405891418457,6,6,29,0,25,0.8620689655172413,4.166666666666667,0.13793103448275867,0.5,4.833333333333333
2759,partaanee,परतानी,पार्टानेसैंडेशमहात्मासचिनमुंबई,2368.004560470581,9,6,30,0,25,0.8333333333333334,4.166666666666667,0.16666666666666663,0.16666666666666666,5.0
1301,ahemdaabadah,अहमदाबादः,अहमदाबादमुंबईदिल्लीचेन्नईकोलकाता,2631.230592727661,12,9,32,0,24,0.75,2.6666666666666665,0.25,0.8888888888888888,3.5555555555555554
10073,jamuei,जमुई,जामुएमहाभारतसरस्वतीशिवप्रणय,2356.416940689087,6,4,27,0,24,0.8888888888888888,6.0,0.11111111111111116,0.25,6.75
2606,antdiyaan,अंतडियां,अंट्डियासच्चिनमहात्मागांधीमुंबई,2371.429920196533,9,8,31,0,24,0.7741935483870968,3.0,0.22580645161290325,0.25,3.875
1888,siddhaarthah,सिद्धार्थः,सिद्धार्थमहाभारतयोगेश्वरप्रणयसचिन,2471.133232116699,12,10,33,0,24,0.7272727272727273,2.4,0.2727272727272727,0.9,3.3
3174,sourceh,सोर्सः,सोर्समहात्मागांधीइंडियादिल्ली,2532.5262546539307,7,6,29,0,24,0.8275862068965517,4.0,0.1724137931034483,0.8333333333333334,4.833333333333333
812,raileeh,रैलीः,रेलीमहात्मागांधीमुंबईदिल्ली,2605.839729309082,7,5,27,0,24,0.8888888888888888,4.8,0.11111111111111116,0.6,5.4
7825,ropaney,रोपने,रोपनेसच्चिनमहात्मागांधीमुंबई,2361.707925796509,7,5,28,0,23,0.8214285714285714,4.6,0.1785714285714286,1.0,5.6
3673,wausau,वौसौ,वॉसॉसैटर्डेजॉनमाइकलजेनिफर,2387.3353004455566,6,4,25,0,23,0.92,5.75,0.07999999999999996,0.5,6.25
4220,delray,डेलरे,देलरेमुम्बईबॉम्बेपुणेचेन्नई,2470.2563285827637,6,5,27,0,23,0.8518518518518519,4.6,0.14814814814814814,0.8,5.4
1527,surakshaah,सुरक्षाः,सुरक्षामहात्मासत्याग्रहमहाभारत,2359.7114086151123,10,8,30,0,23,0.7666666666666667,2.875,0.23333333333333328,0.875,3.75
673,graahakonne,ग्राहकोंने,ग्राहकॉनसुखशांतिमहात्मासत्याग,2362.682104110718,11,10,29,0,22,0.7586206896551724,2.2,0.24137931034482762,0.6,2.9
2354,neeoo,नीऊ,नीओसैंडेशमहात्मासचिनसचिन,2503.514528274536,5,3,24,0,22,0.9166666666666666,7.333333333333333,0.08333333333333337,0.6666666666666666,8.0
9333,teap,टिप,तिपसैंडेशमहात्मासचिनसचिन,2733.320474624634,4,3,24,0,22,0.9166666666666666,7.333333333333333,0.08333333333333337,0.6666666666666666,8.0
4178,wausau,वौसाउ,वॉसॉसैटर्डेजॉनमाइकलजेनिफर,2500.175714492798,6,5,25,0,22,0.88,4.4,0.12,0.4,5.0
3748,bayonne,बेयोन,बायोनजॉनसोफियामाइकलएमैनुएल,2521.6081142425537,7,5,26,0,22,0.8461538461538461,4.4,0.15384615384615385,0.8,5.2
4032,charlotte,शार्लेट,चार्लटजेम्ससोफियामाइकलएमिली,2374.4115829467773,9,7,27,0,22,0.8148148148148148,3.142857142857143,0.18518518518518523,0.5714285714285714,3.857142857142857
8515,sanchalnon,संचालनों,संचलनोप्रनयश्रद्धासहिलसहिल,2587.2983932495117,10,8,26,0,21,0.8076923076923077,2.625,0.1923076923076923,0.375,3.25
6174,thaile,थैले,थाइलसुखमहात्मासचिनमुंबई,2545.9725856781006,6,4,23,0,21,0.9130434782608695,5.25,0.08695652173913049,0.25,5.75
264,srijanvigyaanee,सृजनविज्ञानी,सृजनविग्यानेप्रनयसहिलसहिलसहिल,2457.8843116760254,15,12,29,0,20,0.6896551724137931,1.6666666666666667,0.31034482758620685,0.75,2.4166666666666665
1091,paancholaas,पांचोलास,पांचोलामहाभारतसचिनशिवसरस्वती,2584.7537517547607,11,8,28,0,20,0.7142857142857143,2.5,0.2857142857142857,0.875,3.5
9082,ainthey,ऐंठे,एन्थेसैंडेशमहात्मासचिन,2461.2386226654053,7,4,22,0,20,0.9090909090909091,5.0,0.09090909090909094,0.0,5.5
5143,tyres,टायर्स,टायरजॉनमाइकलसोफियाक्रिसमस,2475.954294204712,5,6,25,0,19,0.76,3.1666666666666665,0.24,0.6666666666666666,4.166666666666667
4225,cheyenne,चेयेने,चेयनजॉनमाइकलसोफियाऑलिवर,2691.737174987793,8,6,23,0,19,0.8260869565217391,3.1666666666666665,0.17391304347826086,0.5,3.8333333333333335
9684,risaney,रिसने,रिसनेसैंडेशमहात्मासचिनसच,2560.331106185913,7,5,24,0,19,0.7916666666666666,3.8,0.20833333333333337,1.0,4.8
201,yojnah,योजनाः,योजनसर्वत्रप्रणयशिवसुख,2471.179723739624,6,6,22,0,18,0.8181818181818182,3.0,0.18181818181818177,0.6666666666666666,3.6666666666666665
395,chhalaah,छलाह,छलाभगवनशिवमहात्मागांधी,2364.349842071533,8,4,22,0,18,0.8181818181818182,4.5,0.18181818181818177,0.75,5.5
1686,nandoee,नंदोई,नंदूसैंडेशमहाभारतसचिन,2496.570825576782,7,5,21,0,18,0.8571428571428571,3.6,0.1428571428571429,0.6,4.2
4748,budge,बज,बजजम्पकाइटलंचनाइट,2446.0432529449463,5,2,17,0,15,0.8823529411764706,7.5,0.11764705882352944,1.0,8.5
2720,liyaah,लियाः,लियाखानाप्यारआपभाग,2364.4497394561768,6,5,18,0,14,0.7777777777777778,2.8,0.2222222222222222,0.8,3.6
